id,order_id,product_name,quantity,unit_price
1,1,Classic Jaffle,2,8.50
2,1,Maple Syrup,1,4.00
3,2,Belgian Waffle,1,12.00
4,2,Fresh Berries,2,5.00
5,3,Cheese Jaffle,1,9.50
6,4,Deluxe Waffle Stack,1,18.00
7,4,Whipped Cream,2,2.50
8,4,Hot Chocolate,1,4.50
9,5,Ham & Cheese Jaffle,1,11.00
10,5,Orange Juice,1,3.50
11,6,Nutella Waffle,1,13.00
12,7,Classic Jaffle,3,8.50
13,8,Breakfast Platter,1,22.00
14,8,Coffee,2,3.50
15,9,Veggie Jaffle,1,10.00
16,9,Sweet Potato Waffle,1,14.00
17,9,Iced Latte,1,5.00
18,10,Premium Waffle Feast,1,28.00
19,11,Bacon Jaffle,1,12.00
20,11,Hash Browns,1,4.00
21,12,Kids Waffle,1,7.00
22,13,Chicken Jaffle,1,13.00
23,13,Side Salad,2,4.50
24,14,Gourmet Jaffle Combo,1,24.00
25,15,Waffle Ice Cream Sundae,2,15.00
26,15,Espresso,2,3.00
