touchpoint_id,customer_id,campaign_id,touchpoint_date,touchpoint_type,action_taken,revenue_attributed,device_type,session_duration_seconds
1,1,1,2023-01-02,email_open,clicked,0,mobile,45
2,1,1,2023-01-02,email_click,visited_site,0,mobile,320
3,1,1,2023-01-03,retargeting_ad,purchased,89.99,mobile,180
4,3,1,2023-01-02,email_open,clicked,0,desktop,60
5,3,1,2023-01-02,email_click,purchased,125.50,desktop,480
6,5,2,2023-02-11,social_ad,clicked,0,mobile,30
7,5,2,2023-02-12,social_ad,visited_site,0,mobile,150
8,8,2,2023-02-13,social_ad,purchased,45.00,desktop,290
9,10,3,2023-03-16,display_ad,clicked,0,tablet,40
10,10,3,2023-03-17,email_open,visited_site,0,desktop,200
11,12,3,2023-03-18,search_ad,purchased,210.00,desktop,360
12,15,4,2023-03-26,email_open,clicked,0,mobile,55
13,15,4,2023-03-27,email_click,purchased,67.50,mobile,240
14,20,5,2023-05-05,social_ad,liked,0,mobile,15
15,20,5,2023-05-08,social_ad,shared,0,mobile,25
16,25,6,2023-06-02,email_open,clicked,0,desktop,70
17,25,6,2023-06-03,display_ad,visited_site,0,desktop,180
18,25,6,2023-06-05,retargeting_ad,purchased,340.00,desktop,420
19,30,7,2023-08-20,email_open,clicked,0,mobile,50
20,30,7,2023-08-21,email_click,purchased,125.00,mobile,300
21,35,8,2023-09-02,social_ad,clicked,0,tablet,35
22,35,8,2023-09-03,social_ad,visited_site,0,tablet,150
23,40,9,2023-11-23,email_open,clicked,0,desktop,80
24,40,9,2023-11-23,search_ad,visited_site,0,desktop,240
25,40,9,2023-11-24,retargeting_ad,purchased,450.00,desktop,500
26,45,10,2023-11-26,push_notification,clicked,0,mobile,20
27,45,10,2023-11-26,in_app,purchased,89.99,mobile,180
28,50,11,2023-12-10,email_open,clicked,0,desktop,65
29,50,11,2023-12-11,display_ad,visited_site,0,desktop,200
30,50,11,2023-12-12,email_click,purchased,275.00,desktop,380
31,55,11,2023-12-15,social_ad,clicked,0,mobile,40
32,55,11,2023-12-16,social_ad,purchased,150.00,mobile,260
33,60,12,2023-12-27,email_open,clicked,0,tablet,45
34,60,12,2023-12-28,email_click,purchased,99.99,tablet,220
35,2,13,2023-04-05,email_open,clicked,0,desktop,55
36,2,13,2023-04-06,email_click,enrolled,0,desktop,180
37,8,13,2023-04-10,email_open,enrolled,0,mobile,120
38,15,14,2023-07-05,email_open,clicked,0,desktop,50
39,15,14,2023-07-06,email_click,reactivated,75.00,desktop,300
40,22,14,2023-07-10,email_open,ignored,0,mobile,10
41,28,15,2023-05-20,social_share,referred_friend,0,mobile,45
42,28,15,2023-05-22,referral_bonus,claimed,25.00,mobile,60
43,35,15,2023-05-25,social_share,referred_friend,0,desktop,30
44,42,16,2023-10-05,influencer_post,clicked,0,mobile,25
45,42,16,2023-10-06,influencer_story,visited_site,0,mobile,180
46,42,16,2023-10-07,influencer_code,purchased,125.00,mobile,240
47,48,17,2023-09-18,email_open,clicked,0,desktop,40
48,48,17,2023-09-19,email_survey,completed,0,desktop,300
49,52,18,2023-11-05,display_ad,clicked,0,tablet,35
50,52,18,2023-11-06,email_open,upgraded,199.00,tablet,420
51,58,19,2023-06-16,push_notification,downloaded_app,0,mobile,120
52,58,19,2023-06-17,in_app,purchased,55.00,mobile,180
53,62,20,2023-08-03,email_open,clicked,0,desktop,30
54,62,20,2023-08-03,survey_link,completed,0,desktop,600
55,65,1,2023-01-05,email_open,clicked,0,mobile,40
56,65,1,2023-01-06,retargeting_ad,purchased,180.00,mobile,280
57,70,3,2023-03-20,search_ad,clicked,0,desktop,25
58,70,3,2023-03-21,display_ad,visited_site,0,desktop,150
59,70,3,2023-03-22,email_open,purchased,299.00,desktop,400
60,75,6,2023-06-10,social_ad,clicked,0,mobile,30
61,75,6,2023-06-11,email_open,visited_site,0,mobile,120
62,75,6,2023-06-12,retargeting_ad,purchased,425.00,mobile,350
63,80,9,2023-11-24,email_open,clicked,0,tablet,45
64,80,9,2023-11-24,search_ad,visited_site,0,tablet,200
65,80,9,2023-11-25,push_notification,purchased,599.00,tablet,450
66,85,11,2023-12-20,social_ad,clicked,0,desktop,35
67,85,11,2023-12-21,email_open,visited_site,0,desktop,180
68,85,11,2023-12-22,retargeting_ad,purchased,350.00,desktop,320
69,90,13,2023-04-15,email_open,clicked,0,mobile,50
70,90,13,2023-04-16,email_click,enrolled,0,mobile,240
71,95,15,2023-06-01,social_share,referred_friend,0,desktop,40
72,95,15,2023-06-03,referral_bonus,claimed,25.00,desktop,80
73,100,19,2023-06-20,app_install,registered,0,mobile,300
74,100,19,2023-06-21,push_notification,purchased,45.00,mobile,180
