id,user_id,order_date,status,order_source,shipping_method,promo_code,order_priority,estimated_delivery_days,shipping_cost,tax_rate,currency,fulfillment_center,order_notes
1,1,2023-03-15,returned,website,standard,SPRING23,normal,5,8.99,0.0875,USD,east_coast,Customer requested return - wrong size
2,3,2023-05-22,completed,mobile_app,express,MOBILE10,high,2,15.99,0.08,USD,west_coast,Gift wrap requested
3,94,2023-08-10,completed,website,standard,,normal,7,12.50,0.0925,USD,central,
4,50,2023-11-03,completed,phone,overnight,VIP50,urgent,1,29.99,0.085,USD,east_coast,Rush delivery for event
5,64,2024-01-18,completed,website,standard,NEW2024,normal,5,9.99,0.0875,USD,west_coast,
6,54,2024-04-12,completed,mobile_app,express,,high,2,18.99,0.08,USD,central,Mobile exclusive item
7,88,2024-07-25,completed,website,standard,SUMMER24,normal,6,11.50,0.0925,USD,east_coast,
8,2,2024-09-14,returned,website,express,BACK2SCHOOL,normal,3,14.99,0.0875,USD,west_coast,Damaged in shipping
9,53,2024-12-05,completed,mobile_app,standard,,normal,8,7.99,0.08,USD,central,Holiday rush order
10,7,2025-02-20,completed,website,overnight,VALENTINE,urgent,1,24.99,0.0925,USD,east_coast,Valentine's Day delivery
11,99,2025-04-08,completed,phone,standard,,normal,5,10.50,0.085,USD,west_coast,Phone order assistance
12,59,2025-06-15,completed,website,express,SUMMER25,high,2,16.99,0.0875,USD,central,Summer collection pre-order
13,84,2025-01-30,completed,mobile_app,standard,NEWSTART,normal,6,9.50,0.08,USD,east_coast,
14,40,2023-07-18,returned,website,standard,,normal,7,13.25,0.0925,USD,west_coast,Quality issue reported
15,25,2023-10-22,completed,website,express,FALL23,high,3,17.50,0.085,USD,central,
16,39,2024-02-14,completed,mobile_app,overnight,LOVE14,urgent,1,28.50,0.0875,USD,east_coast,Valentine's rush
17,71,2024-05-09,completed,website,standard,,normal,5,8.75,0.08,USD,west_coast,
18,64,2024-08-27,returned,phone,express,LOYALTY,normal,2,19.99,0.0925,USD,central,Loyalty member return
19,54,2024-11-11,completed,website,standard,VETERANS,normal,6,12.99,0.085,USD,east_coast,Veterans Day special
20,20,2025-01-29,completed,mobile_app,express,,high,3,15.50,0.0875,USD,west_coast,
21,71,2024-03-23,completed,website,standard,SPRING24,normal,5,11.25,0.08,USD,central,
22,86,2024-03-24,completed,mobile_app,overnight,URGENT,urgent,1,32.99,0.0925,USD,east_coast,Emergency replacement
23,22,2024-03-26,return_pending,website,express,,normal,2,18.50,0.085,USD,west_coast,Return requested
24,3,2024-03-27,completed,phone,standard,PHONE10,normal,7,9.25,0.0875,USD,central,
25,51,2024-03-28,completed,website,express,FLASH,high,2,21.99,0.08,USD,east_coast,Flash sale item
26,32,2024-03-28,completed,mobile_app,standard,,normal,6,10.75,0.0925,USD,west_coast,
27,94,2024-03-29,completed,website,overnight,PREMIUM,urgent,1,35.50,0.085,USD,central,Premium member
28,8,2024-03-29,completed,mobile_app,standard,,normal,5,8.50,0.0875,USD,east_coast,
29,57,2024-03-31,completed,website,express,MONTH,high,3,16.25,0.08,USD,west_coast,End of month sale
30,69,2024-06-02,completed,phone,standard,,normal,7,13.50,0.0925,USD,central,Phone consultation
31,16,2024-06-02,completed,website,express,JUNE24,high,2,19.75,0.085,USD,east_coast,
32,28,2024-06-04,completed,mobile_app,overnight,RUSH,urgent,1,29.25,0.0875,USD,west_coast,Last minute gift
33,42,2024-06-04,completed,website,standard,,normal,6,11.99,0.08,USD,central,
34,38,2024-06-06,completed,mobile_app,express,MOBILE,high,2,17.25,0.0925,USD,east_coast,Mobile app exclusive
35,80,2024-06-08,completed,website,standard,CUSTOMER,normal,5,9.75,0.085,USD,west_coast,Returning customer
36,85,2024-06-10,completed,phone,overnight,,urgent,1,31.50,0.0875,USD,central,Urgent business need
37,1,2024-06-10,completed,website,express,REPEAT,high,3,18.99,0.08,USD,east_coast,Repeat customer
38,51,2024-06-10,completed,mobile_app,standard,,normal,6,12.25,0.0925,USD,west_coast,
39,26,2024-06-11,completed,website,express,QUICK,high,2,20.50,0.085,USD,central,Quick delivery needed
40,33,2024-06-13,completed,mobile_app,standard,,normal,5,10.25,0.0875,USD,east_coast,
41,99,2024-06-14,completed,website,overnight,VIP,urgent,1,33.75,0.08,USD,west_coast,VIP customer
42,92,2024-06-16,completed,phone,standard,,normal,7,14.50,0.0925,USD,central,
43,31,2024-06-17,completed,website,express,WEEKEND,high,2,16.75,0.085,USD,east_coast,Weekend special
44,66,2024-06-17,completed,mobile_app,standard,,normal,6,11.50,0.0875,USD,west_coast,
45,22,2024-06-17,completed,website,overnight,PARTY,urgent,1,28.99,0.08,USD,central,Party preparation
46,6,2024-06-19,completed,mobile_app,express,,high,3,19.25,0.0925,USD,east_coast,
47,50,2024-06-20,completed,website,standard,MIDYEAR,normal,5,13.75,0.085,USD,west_coast,Mid-year sale
48,27,2024-06-21,completed,phone,express,,normal,2,22.50,0.0875,USD,central,
49,35,2024-06-21,completed,website,standard,,normal,6,12.75,0.08,USD,east_coast,
